City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
118,Jamestown,42.097,-79.2353,279.95,60,0,4.63,US,1731218823
119,Trairi,-3.2778,-39.2689,298.51,82,32,5.11,BR,1731218803
120,Yellowknife,62.456,-114.3525,260.6,93,97,4.92,CA,1731218827
121,Fort-shevchenko,44.5086,50.263,284.68,91,98,1.41,KZ,1731218829
122,Lompoc,34.6391,-120.4579,281.38,93,0,2.57,US,1731218831
123,Bilibino,68.0546,166.4372,249.3,100,94,0.93,RU,1731218833
124,Tekkali,18.6167,84.2333,303.46,46,1,3.92,IN,1731218836
125,Thompson,55.7435,-97.8558,268.24,86,20,0.0,CA,1731218521
126,Nar'yan-mar,67.6713,53.087,268.09,85,89,4.27,RU,1731218840
127,Kerch,45.3583,36.4758,282.17,80,4,8.27,UA,1731218788
128,Tari,-11.1105,14.3559,291.85,96,100,0.88,AO,1731218844
129,Waycross,31.2136,-82.354,293.09,94,99,0.89,US,1731218847
130,Road town,18.4167,-64.6167,300.1,79,100,5.69,VG,1731218849
131,Tottori,35.5,134.2333,291.91,62,100,0.62,JP,1731218851
132,Berezovo,63.9381,65.0419,264.22,84,64,6.93,RU,1731218853
133,Kirensk,57.7853,108.1119,268.21,80,98,3.63,RU,1731218855
134,Anadyr,64.75,177.4833,268.43,92,75,2.0,RU,1731218857
135,Rundu,-17.9333,19.7667,296.0,67,99,1.16,NA,1731218860
136,Trinity beach,-16.7888,145.6968,304.09,55,43,6.69,AU,1731218862
137,Lebu,-37.6167,-73.65,283.42,86,100,0.85,CL,1731218701
138,College,64.8569,-147.8028,258.75,85,20,2.57,US,1731218866
139,Nevel'sk,46.6733,141.8633,283.04,89,82,10.69,RU,1731218868
140,Bikenibeu village,1.3673,173.1241,302.13,74,75,2.57,KI,1731218870
141,Galesong,-5.3166,119.3661,303.83,65,78,4.3,ID,1731218873
142,Margaret river,-33.95,115.0667,291.38,50,0,7.09,AU,1731218877
143,Porbandar,21.6422,69.6093,304.88,37,1,1.06,IN,1731218879
144,Happy valley-goose bay,53.3168,-60.3315,268.7,68,8,2.22,CA,1731218881
145,Augusto correa,-1.0217,-46.635,297.75,88,18,1.28,BR,1731218829
146,Whakatane,-37.9585,176.9854,290.88,85,78,2.44,NZ,1731218886
147,Rio grande,-32.035,-52.0986,289.38,75,0,4.38,BR,1731218642
148,Greymouth,-42.4667,171.2,286.27,69,99,2.82,NZ,1731218890
149,Badagry,6.4167,2.8833,298.1,86,76,1.05,NG,1731218892
150,Lamar,33.6668,-95.5836,287.1,87,75,1.54,US,1731218895
151,Pisco,-13.7,-76.2167,289.83,82,0,1.03,PE,1731218897
152,Ilulissat,69.2167,-51.1,269.16,80,100,4.12,GL,1731218899
153,Invercargill,-46.4,168.35,289.83,59,94,0.89,NZ,1731218904
154,Itoman,26.1247,127.6694,302.16,84,20,4.63,JP,1731218906
155,La punta,-33.1837,-66.3127,294.97,59,0,5.88,AR,1731218908
156,Vorkuta,67.5,64.0,261.38,89,100,7.39,RU,1731218910
157,Flying fish cove,-10.4217,105.6791,299.97,89,100,5.66,CX,1731218912
158,Kodiak,57.79,-152.4072,278.88,87,100,15.43,US,1731218891
159,Laguna,38.421,-121.4238,284.29,66,0,0.0,US,1731218917
160,Nova vicosa,-17.8919,-39.3719,296.4,98,100,2.53,BR,1731218919
161,Vila franca do campo,37.7167,-25.4333,292.38,99,99,2.28,PT,1731218921
162,Yeppoon,-23.1333,150.7333,298.77,71,7,5.93,AU,1731218923
163,Lerwick,60.1545,-1.1494,283.1,83,100,8.55,GB,1731218925
164,Azul,-36.777,-59.8585,289.53,63,72,3.43,AR,1731218928
165,Saint-pierre,-21.3393,55.4781,300.97,61,0,1.54,RE,1731218930
166,Slave lake,55.2834,-114.769,272.64,64,63,1.4,CA,1731218870
167,Fale old settlement,-9.3852,-171.2468,301.78,72,35,6.59,TK,1731218934
168,Smithers,54.7804,-127.1743,269.33,100,100,0.0,CA,1731218937
169,San antonio de pale,-1.4014,5.6325,298.94,82,100,3.88,GQ,1731218941
170,Tommot,58.9564,126.2925,264.89,92,100,2.7,RU,1731218944
171,Remire-montjoly,4.9167,-52.2667,298.17,94,75,2.06,GF,1731218946
172,Olinda,-8.0089,-34.8553,299.0,78,40,3.6,BR,1731218861
173,Kendari,-3.945,122.4989,304.75,57,64,2.63,ID,1731218950
174,San carlos de bariloche,-41.1456,-71.3082,277.73,87,59,2.55,AR,1731218956
175,Chonchi,-42.6128,-73.8092,280.44,92,100,0.93,CL,1731218958
176,Palikir - national government center,6.9248,158.1611,302.05,71,11,6.42,FM,1731218960
177,Anloga,5.7947,0.8973,300.0,79,70,2.15,GH,1731218965
178,Zhangjiakou,40.81,114.8794,286.1,39,14,1.41,CN,1731218967
179,Hamilton,39.1834,-84.5333,287.27,65,100,3.6,US,1731218788
180,Puerto francisco de orellana,-0.4667,-76.9667,295.41,99,100,0.51,EC,1731218971
181,Nishinoomote,30.7333,131.0,297.37,77,100,8.37,JP,1731218974
182,Ta`u,-14.2336,-169.5144,299.78,85,82,9.05,AS,1731218976
183,El nido,11.1858,119.3956,304.34,79,46,3.66,PH,1731218978
184,Puerto lempira,15.2667,-83.7667,298.49,86,7,2.23,HN,1731218981
185,Atafu village,-8.5421,-172.5159,301.3,76,81,5.33,TK,1731218983
186,Ciudad de nanacamilpa,19.4833,-98.55,282.18,72,63,1.22,MX,1731218985
187,Saudarkrokur,65.7461,-19.6394,280.83,81,100,4.41,IS,1731218987
188,Kaedi,16.1465,-13.5047,298.26,17,1,4.93,MR,1731218989
189,Lihue,21.9789,-159.3672,296.92,97,75,7.72,US,1731218992
190,Al khums,32.6486,14.2619,292.32,76,10,2.67,LY,1731218994
191,Monrovia,6.3005,-10.7969,298.46,82,61,0.31,LR,1731218996
192,Nyurba,63.2842,118.3319,265.15,88,100,3.81,RU,1731218998
193,Sampit,-2.5333,112.95,304.37,71,87,1.57,ID,1731219003
194,Papao,-17.75,-149.55,298.97,89,77,8.24,PF,1731219005
195,Buinsk,54.95,48.2833,276.55,81,87,7.13,RU,1731219008
196,Labuan,5.2767,115.2417,303.35,79,20,0.0,MY,1731218752
197,Puerto baquerizo moreno,-0.9,-89.6,293.35,79,68,4.23,EC,1731219012
198,Ketchikan,55.3422,-131.6461,280.14,75,40,3.6,US,1731219014
